engine_type,bypass_ratio,press_ratio,rated_output,ambient_baro,ambient_temp,ambient_humidity,fuel_flow_to
1,5.09,25.6,77.4,97.55,298,0.0113,0.789
1,5.09,25.5,77.4,97.55,295,0.00655,0.792
1,5.09,25.6,77.4,98.5,294.5,0.01057,0.792
1,5.09,27.3,83.7,97.55,298,0.0113,0.866
1,5.09,27.2,83.7,97.55,295,0.00655,0.87
1,5.09,27.3,83.7,98.5,294.5,0.01057,0.871
1,5.09,27.3,83.7,97.55,298,0.0113,0.866
1,5.09,27.2,83.7,97.55,295,0.00655,0.87
1,5.09,27.3,83.7,98.5,294.5,0.01057,0.871
1,5.09,27.2,83.7,97.55,295,0.00655,0.87
1,6.25,19.7,41.01,102.25,278.3,0.00275,0.407
1,6.25,19.7,41.01,102.25,278.3,0.00275,0.407
1,6.25,19.3,41.01,102.25,278.3,0.00275,0.3991
1,6.25,19.3,41.01,102.25,278.3,0.00275,0.3991
1,5.13,23.03,56.36,97.245,291.7,0.00608,0.6042
1,5.13,22.15,56.36,97.6,288,0.005985,0.608
1,5.13,23.09,59.42,97.6,288,0.005985,0.6481
1,5.13,23.09,59.42,97.6,288,0.005985,0.648
1,5.13,23.49,60.62,97.6,288,0.005985,0.665
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,5.13,24.82,64.53,97.6,288,0.005985,0.721
1,5.13,22.08,56.35,97.6,288,0.005985,0.606
1,5.13,21.71,55.19,97.6,288,0.005985,0.5906
1,5.13,21.71,55.19,97.6,288,0.005985,0.591
1,5.13,23,59.15,97.6,288,0.005985,0.644
1,5.13,23.18,59.68,97.6,288,0.005985,0.6518
1,5.13,23.18,59.68,97.6,288,0.005985,0.652
1,5.13,24.12,62.49,97.6,288,0.005985,0.6914
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,5.13,24.82,64.53,97.6,288,0.005985,0.721
1,5.13,23.18,59.68,97.6,288,0.005985,0.652
1,5.13,24.12,62.49,97.6,288,0.005985,0.691
1,5.13,23.09,59.42,97.6,288,0.005985,0.648
1,5.13,23.49,60.62,97.6,288,0.005985,0.665
